R_fighter,B_fighter,title_bout,date,weight_class,Winner
Tom Aspinall,Jake Collier,False,2020-07-25,Heavyweight,Red
Nicolas Dalby,Jesse Ronson,False,2020-07-25,Welterweight,Draw
Tanner Boser,Raphael Pessoa,False,2020-07-25,Heavyweight,Red
Movsar Evloev,Mike Grundy,False,2020-07-25,Featherweight,Red
Ramazan Emeev,Niklas Stolze,False,2020-07-25,Welterweight,Red
Bethe Correia,Pannie Kianzad,False,2020-07-25,WomenBantamweight,Blue
Nathaniel Wood,John Castaneda,False,2020-07-25,Bantamweight,Red
Joe Duffy,Joel Alvarez,False,2020-07-18,Lightweight,Blue
Jack Hermansson,Kelvin Gastelum,False,2020-07-18,Middleweight,Red
Marc Diakiese,Rafael Fiziev,False,2020-07-18,Lightweight,Blue
Alexandre Pantoja,Askar Askarov,False,2020-07-18,Flyweight,Blue
Grant Dawson,Nad Narimani,False,2020-07-18,CatchWeight,Red
Deiveson Figueiredo,Joseph Benavidez,True,2020-07-18,Flyweight,Red
Roman Dolidze,Khadis Ibragimov,False,2020-07-18,LightHeavyweight,Red
Ariane Lipski,Luana Carolina,False,2020-07-18,WomenFlyweight,Red
Malcolm Gordon,Amir Albazi,False,2020-07-18,Bantamweight,Blue
Brett Johns,Montel Jackson,False,2020-07-18,Bantamweight,Red
Carlos Felipe,Serghei Spivac,False,2020-07-18,Heavyweight,Blue
Davi Ramos,Arman Tsarukyan,False,2020-07-18,Lightweight,Blue
Modestas Bukauskas,Andreas Michailidis,False,2020-07-15,LightHeavyweight,Red
Molly McCann,Taila Santos,False,2020-07-15,WomenFlyweight,Blue
John Phillips,Khamzat Chimaev,False,2020-07-15,Middleweight,Blue
